ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2569,"Dunwoody/PTC",724,"2024-09-18","[]","6/8/2025, 1:05:50 PM"
2568,"Alpharetta",1640,"2024-09-18","[]","6/8/2025, 1:05:50 PM"
2570,"East Cobb/Roswell",1323,"2024-09-18","[]","6/8/2025, 1:05:50 PM"
2573,"Intown/Druid Hills",406,"2024-09-18","[]","6/8/2025, 1:05:51 PM"
2574,"Flowery Branch",494,"2024-09-18","[]","6/8/2025, 1:05:51 PM"
2571,"Decatur",118,"2024-09-18","[]","6/8/2025, 1:05:51 PM"
2575,"Groups - Main",0,"2024-09-18","[{"groupName":"Unnamed Groups","sandwichCount":3015}]","6/8/2025, 1:05:51 PM"
2567,"Groups - Main",0,"2024-09-11","[{"groupName":"Unnamed Groups","sandwichCount":3400}]","6/8/2025, 1:05:50 PM"
2560,"Alpharetta",875,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2563,"Decatur",54,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2561,"Dunwoody/PTC",1143,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2562,"East Cobb/Roswell",1133,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2566,"Flowery Branch",223,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2565,"Intown/Druid Hills",1059,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2564,"Sandy Springs",721,"2024-09-11","[]","6/8/2025, 1:05:50 PM"
2558,"Flowery Branch",214,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2552,"Alpharetta",1210,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2553,"Dunwoody/PTC",1184,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2555,"Decatur",54,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2559,"Groups - Main",0,"2024-09-04","[{"groupName":"Unnamed Groups","sandwichCount":1400}]","6/8/2025, 1:05:49 PM"
2556,"Sandy Springs",434,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2557,"Intown/Druid Hills",567,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2554,"East Cobb/Roswell",1148,"2024-09-04","[]","6/8/2025, 1:05:49 PM"
2549,"Intown/Druid Hills",846,"2024-08-28","[]","6/8/2025, 1:05:49 PM"
2545,"Dunwoody/PTC",1322,"2024-08-28","[]","6/8/2025, 1:05:48 PM"
2548,"Sandy Springs",545,"2024-08-28","[]","6/8/2025, 1:05:49 PM"
